0.000000,0.000000,0.000000
11.455255,7.859584,8.163026
22.562428,15.480344,16.078009
32.984072,22.630755,23.504483
42.403494,29.093531,30.216773
50.534524,34.672325,36.010953
57.130075,39.197609,40.710949
61.989768,42.531901,44.173971
64.965926,44.573878,46.294784
65.968132,45.261503,47.008957
65.968132,45.261503,47.008957
65.965050,45.259388,47.006761
65.919709,45.228279,46.974451
65.730142,45.098215,46.839366
65.245472,44.765677,46.493989
64.288672,44.109205,45.812172
62.679905,43.005412,44.665764
60.256669,41.342801,42.938963
56.889126,39.032291,40.539248
52.490394,36.014270,37.404708
65.968132,45.261503,47.008957
64.965926,44.573878,46.294784
61.989768,42.531901,44.173971
57.130075,39.197609,40.710949
50.534524,34.672325,36.010953
42.403494,29.093531,30.216773
32.984072,22.630755,23.504483
22.562428,15.480344,16.078009
11.455255,7.859584,8.163026
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
11.455255,7.859584,8.163026
22.562428,15.480344,16.078009
32.984072,22.630755,23.504483
42.403494,29.093531,30.216773
50.534524,34.672325,36.010953
57.130075,39.197609,40.710949
61.989768,42.531901,44.173971
64.965926,44.573878,46.294784
65.968132,45.261503,47.008957
61.899875,42.470224,44.109913
64.472155,44.235095,45.942922
65.755230,45.115428,46.857243
65.903538,45.217184,46.962927
65.143675,44.695833,46.421448
63.769663,43.753108,45.442326
62.128851,42.627327,44.273081
60.591980,41.572863,43.177906
59.502399,40.825288,42.401470
65.968132,45.261503,47.008957
52.490394,36.014270,37.404708
52.215631,35.825752,37.208911
51.381887,35.253710,36.614784
49.962391,34.279778,35.603250
47.917609,32.876829,34.146136
45.201966,31.013594,32.210966
41.771841,28.660146,29.766656
37.593683,25.793463,26.789296
32.651514,22.402584,23.267502
26.953011,18.492774,19.206743
