#Beta-Resorcinol B86bPBE-XDM PES
#Volume (Ang^3) Gibbs Energy (kJ/mol)
637.9829934028	-1059807.18575443
629.0236717769	-1059810.88786728
619.6044737237	-1059814.81617369
613.3979942637	-1059817.44465525
613.6572434129	-1059817.34484323
612.4283920728	-1059817.85160906
612.4584439319	-1059817.84379807
611.6068856806	-1059818.20072569
611.2364535439	-1059818.3512086
610.8543592705	-1059818.51871763
610.6545173714	-1059818.60360526
609.1128184727	-1059819.24959716
607.7153773887	-1059819.82305087
602.4110316214	-1059822.00521765
599.5585204199	-1059823.12231127
596.6650509646	-1059824.27343891
594.195597237	-1059825.27898537
589.9461339609	-1059826.85245793
579.8886895456	-1059830.63122866
579.7449948328	-1059830.7377881
576.3492977603	-1059831.944893
572.9241712045	-1059833.08226671
565.1909446831	-1059835.43635612
554.789370917	-1059838.21393166
548.7476876724	-1059839.54148446
539.8181659916	-1059840.87963446
536.1852696546	-1059841.26435597
529.8372145233	-1059841.57104499
525.4462496682	-1059841.46318693
512.7806802741	-1059839.47454705
502.69356928	-1059836.13176495
488.7912058454	-1059828.0075939
477.4943445203	-1059817.76822134
468.102679186	-1059806.27784676
459.8491020574	-1059793.57098905
452.5351197159	-1059780.07331021
439.9493033325	-1059750.98639336
429.5833531706	-1059720.69046962
408.0168765631	-1059635.38491735
