#Alpha-Resorcinol B86bPBE-XDM PES
#Volume (Ang^3) Gibbs Energy (kJ/mol)
719.7076015899	-1059768.06301317
709.842204558	-1059773.97279909
703.3616722965	-1059777.84615472
689.9910400548	-1059786.09333265
680.7553243088	-1059791.73062654
672.9513840441	-1059796.58694227
668.9685198788	-1059799.02533751
661.3019616582	-1059803.67240108
658.8222090932	-1059805.15376456
648.3742238761	-1059811.37370567
639.9814864868	-1059816.34504147
632.9258790048	-1059820.31241489
628.1569097743	-1059822.941146
620.0000379871	-1059827.1665755
615.0639608598	-1059829.8279163
608.9360785697	-1059832.87859431
597.8466017454	-1059837.89176137
588.0026322226	-1059841.8691763
579.4687044421	-1059844.73370676
571.6314374361	-1059847.06812176
564.1818068117	-1059848.68209674
557.6073106258	-1059849.80978323
551.8201494382	-1059850.33730017
546.3949294035	-1059850.51395193
540.1732610109	-1059850.2890457
532.7956777921	-1059849.44453527
528.3788843422	-1059848.51102738
524.1187073116	-1059847.36656085
516.739805249	-1059844.55551585
500.8723051085	-1059835.22444027
487.7617963058	-1059823.39709565
476.7768489755	-1059809.9414321
467.1362629664	-1059794.98562366
458.5852494889	-1059779.31644333
444.5472822267	-1059746.9069641
431.6478921796	-1059709.14366847
408.3596870699	-1059616.50513784
